Theta_deg,RCS_dB
-110.0,-10.36292809598335
-109.0,-10.708132888132413
-108.0,-11.067522052869753
-107.0,-11.442189988799322
-106.0,-11.833363914807865
-105.0,-12.242423785181295
-104.0,-12.670925520867653
-103.0,-13.120627983470598
-102.0,-13.5935240136312
-101.0,-14.091875566724788
-100.0,-14.618252329012742
-99.0,-15.175571848145008
-98.0,-15.767136513153833
-97.0,-16.396657411850597
-96.0,-17.068244719191735
-95.0,-17.786323998655515
-94.0,-18.55539814953786
-93.0,-19.3794974009675
-92.0,-20.261011191013296
-91.0,-21.198323049906715
-90.0,-22.18122760489052
-89.0,-23.182640399446257
-88.0,-24.14563574677966
-87.0,-24.969765857427653
-86.0,-25.514596115502695
-85.0,-25.649318751014395
-84.0,-25.336344939716277
-83.0,-24.661023191186743
-82.0,-23.76769712274204
-81.0,-22.783034647433226
-80.0,-21.788236249301583
-79.0,-20.82602627195733
-78.0,-19.915184993781352
-77.0,-19.06160606423618
-76.0,-18.264853775431114
-75.0,-17.52166700848343
-74.0,-16.827732718709903
-73.0,-16.178546337724462
-72.0,-15.569805756054777
-71.0,-14.997571741986068
-70.0,-14.45831399848155
-69.0,-13.948903405823758
-68.0,-13.466580986600666
-67.0,-13.00891878153507
-66.0,-12.573779968000828
-65.0,-12.15928154006482
-64.0,-11.763760839077941
-63.0,-11.385746221360439
-62.0,-11.023931679099316
-61.0,-10.677155033620952
-59.99999999999999,-10.344379261056853
-58.99999999999999,-10.024676517883684
-58.00000000000001,-9.717214470743068
-57.0,-9.421244582280842
-56.0,-9.136092053050241
-55.0,-8.861147164441565
-54.0,-8.595857807426745
-53.0,-8.339723016270055
-52.0,-8.092287355531951
-51.0,-7.853136033219769
-50.0,-7.6218906334404135
-49.0,-7.39820537899128
-48.0,-7.1817638485376385
-47.0,-6.972276084847455
-46.0,-6.769476040395844
-45.0,-6.573119314854534
-44.0,-6.382981145831299
-43.0,-6.19885461995421
-42.0,-6.0205490762013545
-41.0,-5.847888677415783
-40.0,-5.680711129348824
-39.0,-5.518866529450447
-38.0,-5.362216330061214
-37.0,-5.210632402727904
-36.0,-5.0639961921266154
-35.0,-4.922197949579453
-34.0,-4.78513603743792
-33.0,-4.652716296709193
-32.0,-4.524851471250555
-31.0,-4.401460682675899
-29.999999999999996,-4.282468950824924
-29.000000000000004,-4.167806755258223
-28.0,-4.0574096337737275
-27.0,-3.9512178144022556
-26.0,-3.8491758777437344
-25.0,-3.7512324468590954
-24.0,-3.6573399022410125
-23.0,-3.5674541196588394
-22.0,-3.4815342289117552
-21.0,-3.3995423917344194
-20.0,-3.3214435972859073
-19.0,-3.2472054738174427
-18.0,-3.1767981152604325
-17.0,-3.110193921607177
-16.0,-3.047367452071711
-14.999999999999998,-2.988295290123038
-14.0,-2.93295591957514
-13.0,-2.8813296110022706
-12.0,-2.8333983178227666
-11.0,-2.7891455814632087
-10.0,-2.7485564450759
-9.0,-2.711617375338922
-8.0,-2.6783161919192717
-7.0,-2.648642004226277
-6.0,-2.622585155125922
-5.0,-2.6001371713263426
-4.0,-2.581290720182316
-3.0,-2.5660395727008005
-2.0,-2.5543785725625714
-1.0,-2.5463036110058077
1.446348815745076e-27,-2.5418116074469674
1.0,-2.540900495742484
2.0,-2.543569216022737
3.0,-2.5498177120558236
4.0,-2.559646934125629
5.0,-2.5730588474346607
6.0,-2.590056446068629
7.0,-2.6106437725858394
8.0,-2.634825943322307
9.0,-2.6626091795307194
10.0,-2.6940008445008923
11.0,-2.7290094868391748
12.0,-2.7676448901161828
13.0,-2.809918129126327
14.0,-2.855841633037859
14.999999999999998,-2.905429255751526
16.0,-2.95869635382683
17.0,-3.0156598723803345
18.0,-3.0763384394092306
19.0,-3.1407524690470288
20.0,-3.208924274316907
21.0,-3.2808781900126247
22.0,-3.3566407064083807
23.0,-3.4362406145779127
24.0,-3.519709164190007
25.0,-3.6070802347459
26.0,-3.6983905213318007
27.0,-3.7936797360815406
28.0,-3.8929908266800033
29.000000000000004,-3.996370213390973
29.999999999999996,-4.103868046264275
31.0,-4.21553848437063
32.0,-4.3314399991313195
33.0,-4.451635704056448
34.0,-4.576193713486206
35.0,-4.705187533247089
36.0,-4.838696486497628
37.0,-4.976806178449381
38.0,-5.119609004121718
39.0,-5.267204703825243
40.0,-5.419700971687781
41.0,-5.577214123243711
42.0,-5.7398698289220675
43.0,-5.907803921206359
44.0,-6.081163284319687
45.0,-6.260106836537275
46.0,-6.444806616672164
47.0,-6.635448987950672
48.0,-6.832235974430107
49.0,-7.035386747356669
50.0,-7.245139281463432
51.0,-7.461752204227077
52.0,-7.685506864596615
53.0,-7.916709651748599
54.0,-8.15569459908141
55.0,-8.402826314004233
56.0,-8.658503280163803
57.0,-8.923161585611016
58.00000000000001,-9.197279138019404
58.99999999999999,-9.481380436299137
59.99999999999999,-9.776041976506658
61.0,-10.08189837822924
62.0,-10.399649324521512
63.0,-10.730067412043127
64.0,-11.074007004950374
65.0,-11.432414170671573
66.0,-11.806337738428155
67.0,-12.196941446292954
68.0,-12.605517002928195
69.0,-13.033497640872955
70.0,-13.482471303223864
71.0,-13.954191855422554
72.0,-14.450585427583821
73.0,-14.973746790711155
74.0,-15.525916898113643
75.0,-16.10942625528891
76.0,-16.726577695589555
77.0,-17.379423230962708
78.0,-18.06935785640298
79.0,-18.7964014955331
80.0,-19.557962307421764
81.0,-20.346777019164968
82.0,-21.147667532074713
83.0,-21.932956406114243
84.0,-22.65738794159848
85.0,-23.255962969214888
86.0,-23.651589158476245
87.0,-23.778239774169414
88.0,-23.611474738187948
89.0,-23.182020106103987
90.0,-22.558884242130762
91.0,-21.818609514835046
92.0,-21.02394562056776
93.0,-20.217801583356596
94.0,-19.42606587668078
95.0,-18.66273845334018
96.0,-17.93436719774
97.0,-17.243132072223336
98.0,-16.58878674650235
99.0,-15.969818777237046
100.0,-15.384121018981034
101.0,-14.82937024420583
102.0,-14.303234262327557
103.0,-13.803479934731023
104.0,-13.328024580478301
105.0,-12.874955526447401
106.0,-12.442532163958443
107.0,-12.029178812286096
108.0,-11.633473154097562
109.0,-11.254132943675405
110.0,-10.890002483114873
111.0,-10.540039658862375
112.0,-10.203303923797112
113.0,-9.878945377227037
114.0,-9.566194965221303
115.0,-9.264355754328164
116.00000000000001,-8.972795197774031
117.0,-8.69093829970899
117.99999999999999,-8.4182615810138
119.0,-8.154287754298982
119.99999999999999,-7.8985810228742075
121.0,-7.65074292682565
122.0,-7.410408667881425
123.00000000000001,-7.177243852915019
124.0,-6.950941603460507
125.00000000000001,-6.731219985379936
126.0,-6.517819718820021
126.99999999999999,-6.310502133851799
128.0,-6.109047341768762
129.0,-5.913252595988867
130.0,-5.7229308199418085
131.0,-5.537909282286478
132.0,-5.358028402360553
133.0,-5.183140670969212
134.0,-5.013109673521249
135.0,-4.847809204162289
136.0,-4.6871224609722
137.0,-4.530941313520879
138.0,-4.379165635136992
139.0,-4.2317026931661195
140.0,-4.088466591293493
141.0,-3.9493777587025827
142.0,-3.814362481446136
143.0,-3.683352471935433
144.0,-3.5562844729153795
145.0,-3.433099892697748
146.0,-3.3137444687801083
147.0,-3.198167957289064
148.0,-3.0863238459617075
149.0,-2.9781690886202505
150.0,-2.8736638593090453
151.0,-2.772771324451769
152.0,-2.6754574315540545
153.0,-2.5816907131255324
154.0,-2.491442104627227
155.0,-2.404684775368135
156.0,-2.321393971379349
157.0,-2.241546869388687
158.0,-2.165122441101804
159.0,-2.0921013270721764
160.0,-2.022465719509173
161.0,-1.9561992534350237
162.0,-1.8932869056562562
163.0,-1.833714901064871
164.0,-1.7774706258298145
165.0,-1.7245425470801417
166.0,-1.674920138718252
167.0,-1.6285938130362614
168.0,-1.5855548578388667
169.0,-1.5457953788052698
170.0,-1.5093082468487298
171.0,-1.4760870502567007
172.0,-1.4461260514167837
173.0,-1.4194201479553057
174.0,-1.395964838134054
175.0,-1.3757561903698434
176.0,-1.3587908167585685
177.0,-1.3450658505018287
178.0,-1.3345789271502602
179.0,-1.3273281695921058
180.0,-1.3233121767309406
