Theta(deg) VEFIE(dBsm) Mie(dBsm)
101.0 -82.45323691618756 -64.07425436992867
102.0 -82.42031626945814 -63.31890099968269
103.0 -82.38723900136932 -62.62684136175317
104.0 -82.35405870630561 -61.98868931178662
105.00000000000001 -82.32082757735762 -61.39702918231112
106.0 -82.2875962608395 -60.845900205559396
107.0 -82.25441372053113 -60.330439268547636
108.0 -82.22132711166137 -59.846627013673064
109.0 -82.18838166457078 -59.391103363190574
110.0 -82.1556205779269 -58.96103086488755
111.0 -82.12308492130832 -58.55399171358397
112.0 -82.09081354693231 -58.16790895611179
113.0 -82.05884301026296 -57.80098536945093
114.00000000000001 -82.02720749921681 -57.451655458918964
115.0 -81.99593877166406 -57.11854733566965
116.00000000000001 -81.96506610092108 -56.80045212985235
117.0 -81.93461622892866 -56.49629921983699
118.00000000000001 -81.90461332682177 -56.20513599899317
119.0 -81.87507896261027 -55.92611121785129
119.99999999999999 -81.84603207571136 -55.658461169405484
121.0 -81.81748895810054 -55.401498154521775
122.0 -81.78946324187686 -55.15460079035772
123.00000000000001 -81.76196589307023 -54.917205819441605
124.0 -81.73500521155523 -54.68880114903562
125.00000000000001 -81.70858683697014 -54.46891990559192
126.0 -81.68271376057868 -54.25713533178812
127.00000000000001 -81.65738634304921 -54.05305638689796
128.0 -81.63260233816183 -53.85632393738722
129.0 -81.60835692249051 -53.66660744529901
130.0 -81.5846427311397 -53.483602078458205
131.0 -81.56144989964581 -53.30702617972186
132.0 -81.53876611218115 -53.13661904314276
133.0 -81.51657665622022 -52.9721389535415
134.0 -81.49486448384806 -52.81336145301657
135.0 -81.47361027990065 -52.66007780368562
136.0 -81.45279253713704 -52.5120936206973
137.0 -81.43238763864026 -52.36922765347903
138.0 -81.41236994763926 -52.231310696448226
139.0 -81.39271190492724 -52.09818461313644
140.0 -81.37338413403151 -51.96970145995621
141.0 -81.35435555425533 -51.845722697758205
142.0 -81.33559350167515 -51.7261184809449
143.0 -81.31706385812534 -51.61076701527871
144.0 -81.29873118814663 -51.49955397668773
145.0 -81.28055888380558 -51.39237198436635
146.0 -81.26250931722001 -51.289120122318586
147.0 -81.24454400053969 -51.18970350422123
148.0 -81.22662375304408 -51.094032877112085
149.0 -81.20870887492129 -51.00202425995053
150.0 -81.19075932719093 -50.91359861356626
151.0 -81.17273491713043 -50.828681538919376
152.0 -81.15459548845499 -50.7472030009487
153.0 -81.13630111539698 -50.66909707559382
154.0 -81.11781229972321 -50.5943017178467
155.0 -81.09909016962868 -50.52275854892456
156.0 -81.08009667934911 -50.45441266086396
157.0 -81.06079480824961 -50.38921243701883
158.0 -81.04114875806977 -50.32710938710632
159.0 -81.02112414694368 -50.26805799558748
160.0 -81.00068819876684 -50.2120155822963
161.0 -80.97980992645068 -50.158942174342485
162.0 -80.9584603075958 -50.10880038841461
163.0 -80.93661245112479 -50.06155532269847
164.0 -80.91424175344463 -50.01717445770633
165.0 -80.89132604276445 -49.97562756538422
166.0 -80.86784571026655 -49.936886625928764
167.0 -80.84378382692668 -49.90092575180364
168.0 -80.8191262448965 -49.867721118498345
169.0 -80.79386168249667 -49.83725090161929
170.0 -80.76798179202308 -49.80949521994759
171.0 -80.74148120973605 -49.784436084136786
172.0 -80.71435758758263 -49.762057350760934
173.0 -80.68661160639073 -49.742344681456736
174.0 -80.65824697046659 -49.72528550693453
175.0 -80.6292703837241 -49.7108689956622
176.0 -80.59969150766598 -49.69908602705283
177.0 -80.56952290172673 -49.689929169012714
178.0 -80.53877994666473 -49.68339265973044
179.0 -80.50748075185935 -49.679472393610936
180.0 -80.47564604751909 -49.678165911280544
