Theta,RCS_dBsm
0.0,21.300938052351302
0.01,21.296537512312472
0.02,21.283342005913607
0.03,21.26136755439475
0.04,21.23064098313224
0.05,21.19120010439568
0.06,21.143093968401956
0.07,21.0863831776143
0.08,21.02114025743716
0.09,20.947450074398116
0.1,20.86541029053627
0.11,20.775131839987395
0.12,20.676739410634994
0.13,20.570371910162848
0.14,20.45618289190122
0.15,20.33434091153258
0.16,20.2050297810811
0.17,20.068448681764096
0.18,19.92481209240159
0.19,19.77434948539711
0.2,19.617304738123543
0.21,19.45393520425798
0.22,19.284510387666316
0.23,19.10931016135909
0.24,18.928622476388078
0.25,18.742740510882133
0.26,18.551959218238743
0.27,18.356571246175434
0.28,18.156862215073616
0.29,17.953105364695226
0.3,17.745555602408597
0.31,17.534443012566317
0.32,17.31996591418727
0.33,17.102283580697932
0.34,16.881508758887016
0.35000000000000003,16.657700141909668
0.36,16.430854960613257
0.37,16.200901856398527
0.38,15.96769418556137
0.39,15.731003878669156
0.4,15.490515939045013
0.41000000000000003,15.245823612898057
0.42,14.996424201943249
0.43,14.741715420002437
0.44,14.480992120742552
0.45,14.213443146730443
0.46,13.938147971822385
0.47000000000000003,13.654072729567766
0.48,13.360065137831691
0.49,13.054847739776141
0.5,12.737008776174099
0.51,12.404989872434204
0.52,12.05706954937469
0.53,11.691341326508562
0.54,11.305684847133325
0.55,10.897727967225379
0.56,10.46479704209738
0.5700000000000001,10.003851603651084
0.58,9.511398069068392
0.59,8.983374769839621
0.6,8.414996954692015
0.61,7.800544668318946
0.62,7.133067057000493
0.63,6.403960963924595
0.64,5.602354379396233
0.65,4.714175756114811
0.66,3.7206956436092513
0.67,2.5961356347130087
0.68,1.303522960387408
0.6900000000000001,-0.21302267328107394
0.7000000000000001,-2.044031791472989
0.71,-4.351172314251861
0.72,-7.469302767330184
0.73,-12.297752757168201
0.74,-23.30095147725865
0.75,-18.598897407824182
0.76,-10.800177312925438
0.77,-6.796572614148294
0.78,-4.118582520915914
0.79,-2.1226514443172375
0.8,-0.5451372997832966
0.81,0.7478166370666903
0.8200000000000001,1.8334905585505388
0.8300000000000001,2.760521124900417
0.84,3.5614782872337667
0.85,4.259217171061488
0.86,4.870370404081083
0.87,5.407398354733342
0.88,5.879857319373794
0.89,6.295218128052723
0.9,6.65941360127099
0.91,6.977215766707091
0.92,7.252502471010126
0.93,7.4884499790344154
0.9400000000000001,7.6876747552633
0.9500000000000001,7.852339554024125
0.96,7.984233935494927
0.97,8.084836129849132
0.98,8.155361087092054
0.99,8.196798163103995
1.0,8.209940955992312
1.01,8.195411169756605
1.02,8.153677950707692
1.03,8.085073858028245
1.04,7.9898084586396765
1.05,7.86798045981083
1.06,7.719589305088097
1.07,7.5445472659528985
1.08,7.342693280759994
1.09,7.1138101554548605
1.1,6.857647295878291
1.11,6.573951959110537
1.12,6.262513186562066
1.1300000000000001,5.923224235395102
1.1400000000000001,5.556171592762088
1.1500000000000001,5.161761648105157
1.16,4.740899786125597
1.17,4.295240636359143
1.18,3.827531161826651
1.19,3.3420670083903947
1.2,2.8452704833667513
1.21,2.3463639674581107
1.22,1.8580387802417395
1.23,1.3968926888871316
1.24,0.9832442483829678
1.25,0.6398203419159723
1.26,0.3889536719648778
1.27,0.24852384660772675
1.28,0.22781675122279216
1.29,0.3250795779460973
1.3,0.5280216116252299
1.31,0.8169944160645566
1.32,1.1692892442330913
1.33,1.5628737841693596
1.34,1.9787028899116024
1.35,2.401615442481114
1.36,2.820268307655641
1.37,3.22659105035004
1.3800000000000001,3.615099438457359
1.3900000000000001,3.9822478678156386
1.4000000000000001,4.325891621396762
1.41,4.644870664450086
1.42,4.938700993994441
1.43,5.207351989122464
