Theta(deg) Phi(deg) RCS(dBsm)
74.0 0.0 -36.228934715443536
75.0 0.0 -36.428998342078074
76.0 0.0 -36.625411755907464
77.0 0.0 -36.81694763038013
78.0 0.0 -37.00225718018836
79.0 0.0 -37.1798776726997
80.0 0.0 -37.34824665230982
81.0 0.0 -37.50572401433389
82.0 0.0 -37.65062272514672
83.0 0.0 -37.78124840427522
84.0 0.0 -37.89594715548654
85.0 0.0 -37.99316000290369
86.0 0.0 -38.07148116605135
87.0 0.0 -38.12971637102115
88.0 0.0 -38.1669366622232
89.0 0.0 -38.1825229634712
90.0 0.0 -38.176197083014706
91.0 0.0 -38.148035982605705
92.0 0.0 -38.098467798609434
93.0 0.0 -38.028250039780744
94.0 0.0 -37.938432246813875
95.0 0.0 -37.83030685866221
96.00000000000001 0.0 -37.70535286968818
97.0 0.0 -37.56517701063778
98.0 0.0 -37.41145672380093
99.0 0.0 -37.24588831067247
100.0 0.0 -37.07014253156998
101.0 0.0 -36.88582883585925
102.0 0.0 -36.694468448372454
103.0 0.0 -36.497475813984344
104.0 0.0 -36.29614742875569
105.00000000000001 0.0 -36.091656839636165
106.0 0.0 -35.88505452876259
107.0 0.0 -35.677271459062666
108.0 0.0 -35.46912519527795
109.0 0.0 -35.26132768843034
110.0 0.0 -35.0544939932636
111.0 0.0 -34.849151358824834
112.0 0.0 -34.64574828202524
113.0 0.0 -34.4446632386842
114.00000000000001 0.0 -34.24621290610553
115.0 0.0 -34.05065976781067
116.00000000000001 0.0 -33.858219047900725
117.0 0.0 -33.66906496317182
118.00000000000001 0.0 -33.48333630895121
119.0 0.0 -33.3011414126439
119.99999999999999 0.0 -33.12256249968883
121.0 0.0 -32.947659522047886
122.0 0.0 -32.77647350106786
123.00000000000001 0.0 -32.60902943577779
124.0 0.0 -32.445338825302485
125.00000000000001 0.0 -32.285401850745785
126.0 0.0 -32.12920925807944
127.00000000000001 0.0 -31.976743979587965
128.0 0.0 -31.82798252747834
129.0 0.0 -31.682896189494866
130.0 0.0 -31.541452052871115
131.0 0.0 -31.40361387973474
132.0 0.0 -31.269342854176926
133.0 0.0 -31.138598218601405
134.0 0.0 -31.011337814662625
135.0 0.0 -30.88751854207263
136.0 0.0 -30.767096746774293
137.0 0.0 -30.650028548421826
138.0 0.0 -30.53627011575616
139.0 0.0 -30.425777897284068
140.0 0.0 -30.318508813652258
141.0 0.0 -30.21442041722327
142.0 0.0 -30.113471023599804
143.0 0.0 -30.015619819184177
144.0 0.0 -29.920826948293005
145.0 0.0 -29.82905358285773
146.0 0.0 -29.74026197731936
147.0 0.0 -29.654415510963453
148.0 0.0 -29.57147871962801
149.0 0.0 -29.491417318446924
150.0 0.0 -29.41419821706127
151.0 0.0 -29.339789528528723
152.0 0.0 -29.26816057299126
153.0 0.0 -29.1992818770115
154.0 0.0 -29.133125169361584
155.0 0.0 -29.069663373937505
156.0 0.0 -29.00887060037778
157.0 0.0 -28.95072213288318
158.0 0.0 -28.895194417664545
159.0 0.0 -28.842265049384338
160.0 0.0 -28.79191275690609
161.0 0.0 -28.744117388620904
162.0 0.0 -28.698859897580885
163.0 0.0 -28.65612232663732
164.0 0.0 -28.6158877937514
165.0 0.0 -28.578140477621726
166.0 0.0 -28.542865603751743
167.0 0.0 -28.51004943106126
168.0 0.0 -28.479679239131777
169.0 0.0 -28.451743316161494
170.0 0.0 -28.426230947694556
171.0 0.0 -28.403132406179942
172.0 0.0 -28.382438941406477
