Theta(deg),RCS(dBsm)
0.0,22.763363409852168
0.5729577951308232,22.75870341433919
1.1459155902616465,22.744726113332487
1.7188733853924696,22.721434225572313
2.291831180523293,22.68883234174114
2.8647889756541165,22.64692701531416
3.437746770784939,22.595726889635813
4.010704565915763,22.53524286106717
4.583662361046586,22.465488277920485
5.156620156177409,22.38647917470825
5.729577951308233,22.298234540959953
6.302535746439055,22.200776623484927
6.875493541569878,22.094131260459765
7.448451336700702,21.978328245069253
8.021409131831525,21.853401715604836
8.594366926962348,21.71939056789098
9.167324722093172,21.576338884638204
9.740282517223996,21.424296374777573
10.313240312354818,21.26331881397784
10.886198107485642,21.09346847535361
11.459155902616466,20.91481453680565
12.032113697747288,20.727433448471015
12.60507149287811,20.53140924038324
13.178029288008934,20.326833746649967
13.750987083139757,20.11380671826549
14.32394487827058,19.892435792131412
14.896902673401405,19.662836279036032
15.469860468532229,19.42513072835853
16.04281826366305,19.17944822227811
16.615776058793873,18.925923347493697
17.188733853924695,18.664694788159764
17.76169164905552,18.395903480231418
18.334649444186343,18.119690265035594
18.907607239317166,17.836192979011827
19.48056503444799,17.545542917547976
20.053522829578814,17.247860613964466
20.626480624709636,16.943250880147268
21.199438419840458,16.631797063076704
21.772396214971284,16.313554481253604
22.345354010102106,15.988543016138951
22.918311805232932,15.656738845105647
23.491269600363754,15.318065312463588
24.064227395494576,14.972382941710398
24.6371851906254,14.619478592576689
25.21014298575622,14.259053757408688
25.783100780887047,13.89071196917686
26.35605857601787,13.513945253616658
26.929016371148695,13.128119495847104
27.501974166279513,12.732458501697405
28.07493196141034,12.326026409209332
28.64788975654116,11.907707937800962
29.220847551671984,11.476185739656021
29.79380534680281,11.029913823074562
30.36676314193363,10.56708562530873
30.939720937064457,10.08559478367954
31.51267873219528,9.582985927607512
32.0856365273261,9.056391794736754
32.65859432245693,8.50245150901545
33.231552117587746,7.917202701028392
33.80450991271857,7.295936895906234
34.37746770784939,6.633002560962814
34.95042550298022,5.9215322209203824
35.52338329811104,5.153057035521474
36.09634109324186,4.31695039986675
36.66929888837269,3.399604327111346
37.24225668350351,2.383174721085759
37.81521447863433,1.243606447738999
38.38817227376516,-0.052589305069597615
38.96113006889598,-1.553790360714999
39.53408786402681,-3.3327491571910146
40.10704565915763,-5.502627639220927
40.680003454288446,-8.235032903666063
41.25296124941927,-11.674451965092064
41.8259190445501,-14.761288775832968
42.398876839680916,-13.542052535144123
42.97183463481174,-10.08247637908471
43.54479242994257,-7.157760179169603
44.11775022507339,-4.891963354116416
44.69070802020421,-3.0953996636161643
45.26366581533504,-1.6285223524895274
45.836623610465864,-0.4021402861742129
46.40958140559668,0.6417166632989645
46.98253920072751,1.5421764651302208
47.555496995858334,2.3266488203867377
48.12845479098915,3.0149692411178117
48.70141258611997,3.6218941391424897
49.2743703812508,4.158660221421521
49.84732817638162,4.633993771506667
50.42028597151244,5.054784702949101
50.99324376664327,5.426549402933415
51.56620156177409,5.753756427840812
52.13915935690491,6.040060704777005
52.71211715203574,6.288475208450457
53.285074947166564,6.501498985925986
53.85803274229739,6.681214122994815
54.43099053742821,6.829360244673874
55.00394833255903,6.947392536706605
55.57690612768985,7.0365275463521035
56.14986392282068,7.097779857034907
56.7228217179515,7.131991940740004
57.29577951308232,7.139858954626627
57.86873730821315,7.121949888820981
58.44169510334397,7.078726243543527
59.01465289847479,7.01055928703309
59.58761069360562,6.9177469054618275
60.160568488736445,6.800531096032963
60.73352628386726,6.659117276095586
61.30648407899809,6.49369679193965
61.879441874128915,6.30447432328379
62.452399669259734,6.091702308098378
63.02535746439056,5.855725069633548
63.598315259521385,5.597036013189262
64.1712730546522,5.316352041949434
64.74423084978304,5.014710117992363
65.31718864491386,4.693591432360825
65.89014644004467,4.35507847578923
66.46310423517549,4.002048560129933
67.03606203030631,3.638402605193643
67.60901982543714,3.269318184886542
68.18197762056796,2.901498410702645
68.75493541569878,2.543361452706531
69.32789321082961,2.2050811923877838
69.90085100596043,1.8983579910854318
70.47380880109125,1.6357934903552072
71.04676659622208,1.4297993469509631
71.6197243913529,1.2911119184675
72.19268218648372,1.2271890104577579
72.76563998161456,1.2409300839035338
73.33859777674537,1.3301519437662626
73.91155557187619,1.4880143160791097
74.48451336700703,1.7042371422749116
75.05747116213784,1.9666928900265301
75.63042895726866,2.262922925947949
76.2033867523995,2.5812795712414043
76.77634454753031,2.9116015394119747
77.34930234266115,3.245481754065538
77.92226013779197,3.5762511730550846
78.49521793292278,3.898802048507432
79.06817572805362,4.209344009888567
79.64113352318444,4.505151653263971
80.21409131831525,4.7843345364630645
80.78704911344607,5.045642106067677
81.36000690857689,5.288305566215587
81.93296470370773,5.511913532950254
82.50592249883854,5.716316342028885
83.07888029396936,5.90155359801349
83.6518380891002,6.067800056574422
84.22479588423101,6.215325715843117
84.79775367936183,6.344466803351399
85.37071147449267,6.455605071902757
85.94366926962348,6.549153424511005
86.5166270647543,6.625546374851946
87.08958485988514,6.6852342297692005
87.66254265501595,6.7286801727133145
88.23550045014677,6.75635964935775
88.8084582452776,6.7687616242171265
89.38141604040842,6.766391401980306
89.95437383553924,6.749774798577803
90.52733163067008,6.71946351119396
91.1002894258009,6.676041577703136
91.67324722093173,6.620132836612525
92.24620501606255,6.552409299123145
92.81916281119337,6.473600324571327
93.3921206063242,6.384502447376414
93.96507840145502,6.28598963506187
94.53803619658584,6.179023660200146
95.11099399171667,6.06466414231584
95.68395178684747,5.944077659106849
96.2569095819783,5.818545144114976
96.82986737710912,5.689466590998647
97.40282517223994,5.5583618928454195
97.97578296737078,5.426866490224736
98.5487407625016,5.2967204285285
99.12169855763241,5.169749489474459
99.69465635276325,5.0478373243720265
100.26761414789407,4.932888031314543
100.84057194302488,4.8267794118842176
101.41352973815572,4.731308192982395
101.98648753328654,4.648129714117385
102.55944532841735,4.578695790332322
103.13240312354819,4.524195433731931
103.705360918679,4.485503601323417
104.27831871380982,4.463142931665584
104.85127650894066,4.457262457266302
105.42423430407148,4.467635624077323
105.99719209920231,4.493677874404102
106.57014989433313,4.534481927791524
107.14310768946395,4.588867111456606
107.71606548459478,4.655437941750683
108.2890232797256,4.73264677343278
108.86198107485642,4.818855671018049
109.43493886998725,4.912393536569641
110.00789666511805,5.011605704904357
110.58085446024889,5.11489444865248
